,hodl,hourly,daily,weekly,monthly
GBG-NEO-STRAT-NGC-XWC,2816.876289995517,5710.290907125627,3916.4347118584747,3486.882705079121,2895.508283743055
LSK-DTA-COVAL-BAT-GAM,2689.6977045544154,6021.254754253258,5074.569426448463,4269.602767211496,3553.3046987882485
EXCL-PTOY-EMC2-PPC-AID,2937.5704011378093,16017.078355355383,8426.055865700717,5654.150737322862,3654.86758288432
FTC-EXCL-BOXX-SWT-LBC,3104.475713235238,47125.315746460394,8752.297772526566,6634.457921871899,4510.185112713254
FTC-DCR-AID-UBQ-MUSIC,2387.355106033997,6405.293844343853,5890.9986617205,3848.0399612782026,2879.302849927024
NEO-ZCL-VRC-ADT-MUE,2670.711625869896,7037.32149698056,4773.686190961204,4281.297192366597,3278.217156144313
XVG-CURE-POT-WINGS-SIB,3540.171375571953,10380.865567408828,7040.307569538846,5189.169825767182,3932.8264643033394
XLM-CBC-2GIVE-EXP-MER,2924.710047850677,6618.536315478658,5205.450051930138,4729.3511630173025,3447.814587576503
SYNX-MFT-BITB-TUBE-MUSIC,2545.4787932436125,10798.099489068474,7934.737387264057,5117.4937883713865,3265.390981965745
RCN-MORE-BCHSV-SWIFT-POT,3130.829454099595,22252715750.866573,71890.1725503474,12852.589432345225,4741.340338797063
PINK-TX-IOC-DMD-XRP,3170.5557840709553,8044.345481007215,5910.374431449095,4822.102344833764,3985.321832745021
ANT-GNO-DOPE-SC-COVAL,2881.428667492877,5309.015855679911,4992.236921075254,4846.871263101384,3376.838101270455
GRC-UP-XST-EMC2-TUSD,3435.726304188268,6771.966691719234,6319.021924550275,6686.034983234049,3982.435451878828
